"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"220uF";"CAP-2,5";"CAP-2,5";"";"";"";"";"";
"C2";"100nF";"CAP-NP5";"CAP-NP5";"";"";"";"";"";
"D1";"4148";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";
"D2";"4148";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";
"D3";"4148";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";
"IC1";"TINY13-20SSU";"TINY13-20SSU";"8S1";"8-bit AVR Microcontroller with 1K Bytes In-System Programmable Flash";"";"ATTINY13-20SSU";"1455133";"58M3771";
"IC3";"AOD472";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC4";"AOD472";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC5";"AOD472";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC6";"78L08Z";"78L08Z";"TO92";"Positive VOLTAGE REGULATOR";"";"";"";"";
"JP1";"PINHEAD-4";"PINHEAD-4";"PINHEAD-4";"";"";"";"";"";
"JP2";"12V";"PINHEAD-2";"PINHEAD-2";"";"";"";"";"";
"R1";"47 Ohm";"R-7,5";"R-7,5";"";"";"";"";"";
"R2";"47 Ohm";"R-7,5";"R-7,5";"";"";"";"";"";
"R3";"4K7";"R-7,5";"R-7,5";"";"";"";"";"";
"R4";"4K7";"R-7,5";"R-7,5";"";"";"";"";"";
"R5";"47 Ohm";"R-7,5";"R-7,5";"";"";"";"";"";
"R6";"4K7";"R-7,5";"R-7,5";"";"";"";"";"";
"R7";"10K";"R-7,5";"R-7,5";"";"";"";"";"";
"R8";"10K";"R-7,5";"R-7,5";"";"";"";"";"";
"SW1";"Off";"KEY-5";"KEY-5";"";"";"";"";"";
"SW2";"On";"KEY-5";"KEY-5";"";"";"";"";"";
